,id,aim,results,dis.1,dis.2,dis.3,dis.4,dis.5,dis.6,measure,est.1,est.2,est.3,est.4,est.5,est.6,found.by.ref,inc.screen,inc.final,reason,inc.start,inc.stop,design,study.pop,study.site,mig.def1,mig.def2,mig.def3,mig.def4,rsn.migr,ethni,note
93,Pollack_2011,intervention to provide community education on hbv infection,the programme may serve as a useful prototype,hbv,,,,,,,,,,,,,0,0,0,3,NA,NA,,,,NA,NA,NA,NA,NA,NA,
94,Pollack_2014,prevalence of hbv and liver cancer in Asian immigrants,Asian immigrants in New York have increased hbv prevalence and are at risk of liver cancer ,hbv,,,,,,,,,,,,,0,0,0,2,NA,NA,,,,NA,NA,NA,NA,NA,NA,
95,Raisanen_2015,tb epidemiology in immigrants,compared to native cases immigrant tb cases were younger; more likely to be female; more likely to have extrapulmonary tb; more likely to have multidrug resistent tb. Most common country of origin were Somalia and Russia.,tb,,,,,,incid,0.00029,,,,,,0,1,1,NA,1995,2013,surveillance,,Finland,0,NA,NA,NA,0,1,
96,Rex_2012,prevalence of hbv and hdv and hcv in Greenlanders in Denmark and in Greenland,there were no difference in the occurence,,,,hbv; hcv,,,,,,,,,,0,0,0,2,NA,NA,,,,NA,NA,NA,NA,NA,NA,
97,Rossi_2012,identify groups of high risk of HBV infection to guide control strategies in immigrant-receiving countries,high seroprevalence of chronic HBV in migrants from most world regions.,hbv,,,,,,prev,0.072,,,,,,0,1,1,NA,NA,2011,review,,,1,2,4,NA,1,2,discusses targeted vaccination of migrants to control HBV
98,Rossi_2013,cost-effectiveness analysis of hbv screening and vaccination in migrant populations,screening was cost-effective in migrants from high prevalence countries. Thus screening was not cost-effective in migrants from Middle East or Latin America,,,,hbv,,,,,,,,,,0,0,0,3,NA,NA,cost-effecitveness,,Canada,NA,NA,NA,NA,NA,NA,
99,Rungan_2013,health of refugee children less than 5 years of age,most common infection were ltbi and parasitic infection (15%). 50% and 59% were immune to rubella and measles,,,,child,,,,,,,,,,0,1,1,NA,2007,2011,surveillance,,New Zealand,2,NA,NA,NA,1,2,
100,Sarivalasis_2012,factors associated with ltbi,factors associated with ltbi were country of origin and travel conditions and marital status and cough and age and prior tb exposure,tb,ltbi,,,,,prev,0.01272,0.23664,,,,,0,1,1,NA,2009,2010,cross-sectional,,Switzerland,4,NA,NA,NA,0,2,
101,Sarivalasis_2013,evaluate the completion of treatment of tb in immigrant population,it may be possible to obtain high completion rate of treatment by following several recommendations,,,,tb,,,,,,,,,,0,0,0,3,NA,NA,,,,NA,NA,NA,NA,NA,NA,
102,SchneebergerGeisler_2010,comparison of x-ray and interview in detecting tb. ,for x-ray: sensitivity of 100% and specificity of 89.9%. For interview: sensitivity of 55% and specificity of 96% If effectiveness is the main objective x-ray is the best tool. However interview has advantages in flexibility and cost and the burden for both patient and health care system,tb,,,,,,prev,0.00124,,,,,,0,1,1,NA,2004,2008,cross-sectional,,Switzerland,4,NA,NA,NA,0,0,Also reports prevalence of tb in the population
103,Simpson_2013,prevalence of ltbi in migrant population,in total 24% of immigrants had positive QFT-IT with highest prevalences among migrants from Liberia and Bhutan and Burma,ltbi,,,,,,prev,0.23660,,,,,,0,1,1,NA,2008,2009,surveillance,,USA,1,2,NA,NA,0,1,places immigrants into categories according to the prevalence in the general population in the country of birth
104,Stauffer_2012,prevalence of syphilis and chlamydia and gonorrhea and hiv,overall prevalence for syphilis were 1.1% and for chlamydia 0.6% and for gonorrhea 0.2% and for hiv 2.0%. For co-infections the prevalence were 0.1%,syphilis,chlamydia,gonorrhea,hiv,,,prev,0.01062,0.00597,0.00208,0.02010,,,0,1,1,NA,2003,2010,surveillance,,USA,2,NA,NA,NA,0,2,
105,Subedi_2015,comparison of two programmes for diagnosis and follow-up,2.7% of refugees were confirmed with ltbi and none with active tb,,,,tb,,,,,,,,,,0,0,0,3,2010,2012,register based cohort,,USA,2,NA,NA,NA,0,1,
106,Tafuri_2010,prevalence of hbv and hcv and hiv and syphilis among refugees,the prevalence of hbv were 8.3% and of hcv 4.5% and of hiv 1.5% and of syphilis < 1.5%,hbv,hcv,hiv,syphilis,,,prev,0.08318,0.04537,0.01512,0.01487,,,0,1,1,NA,2008,2008,surveillance,,Italy,4,NA,NA,NA,0,2,
107,Taylor_2011,evaluation of hbv educational programme to Asian immigrants,the educational programme showed effect on the knowledge of hbv but limited effect on the testing levels,,,,hbv,,,,,,,,,,0,0,0,3,NA,NA,,,,NA,NA,NA,NA,NA,NA,
108,Tramuto_2012,prevalence of hbv and hcv and hiv in a migrant population,the prevalence of hbv were 10.7% and of hcv 5.6% and of hiv 4%,,,,hbv,hcv,hiv,,,,,,,,0,0,0,1,2006,2010,surveillance,,Italy,0,NA,NA,NA,0,2,twin-study to Tramuto 2013
109,Tramuto_2013,prevalence of hbv and hcv and hiv in a migrant population,the prevalence of hbv infection (any marker) were 23.6% and of hcv 5.6% and of hiv 4.6% ,,,,hbv,hcv,hiv,,,,,,,,0,0,0,1,2006,2010,surveillance,,Italy,0,NA,NA,NA,0,2,twin-study to Tramuto 2012
110,Trauer_2011,prevalence of ltbi in refugees and rates of treatment acceptance and completion,31.9% had ltbi. Old age and male sex and Eastern Mediterranean region of birth were associated with increased risk. Of 146 diagnosed with ltbi 121 were offered treatment and 93 accepted. 10 did not show for follow-up and 15 were not offered treatment. Only 44.1% (41) completed treatment,ltbi,,,,,,prev,0.31878,,,,,,0,1,1,NA,2006,2009,surveillance,,Australia,2,NA,NA,NA,0,2,
111,Trovato_2016,assess the demography and clinical status of migrants arriving after travel over sea,great differences between migrants from Africa and from near East; CVD and diabetes were common in Near Easterns; skin disease had high prevalence in migrants from Africa; Migrants attributed their symptomps to the journey,,,,several,,,,,,,,,,0,1,1,NA,2014,2014,surveillance,,Italy,0,NA,NA,NA,0,2,no public health risk were detected
112,Turnour_2011,prevalence of hbv infection and evaluation of a method for evaluating hbv infection distribution,the overall hbv infection prevalence were 2.3%,,,,hbv,,,,,,,,,,1,0,0,3,NA,NA,,,,NA,NA,NA,NA,NA,NA,
113,vanderVeen_2014,socio-cognitive and socio-cultural determinants for hbv screening,relevant socio-cultural belifs were shame stigma the association of screening with sexuality and family values,,,,hbv,,,,,,,,,,0,0,0,3,NA,NA,,,,NA,NA,NA,NA,NA,NA,
114,Varughese_2013,estimate effect of screening and treatment of LTBI of selected immigrants,screening and treatment of LTBI in immigrants from high TB incidence countries is the most effective strategy,,,,tb,,,,,,,,,,0,1,1,NA,1986,2002,modelling study,,Canada,0,NA,NA,NA,0,0,
115,Villano_2015,molecular biology of hbv in chronically infected migrant population,migrants are likely to be infected pre-migration,,,,hbv,,,,,,,,,,0,0,0,2,NA,NA,,,,NA,NA,NA,NA,NA,NA,
116,Vries_2016,report of 12 cases of tb in asylum seekers from low incidence countries  arriving to Netherlands in 2015,7 cases from Syria; 3 from Iraq; 1 from Bosnia; 1 from Macedonia,tb,,,,,,prev,0.00026,,,,,,1,0,0,3,NA,NA,commentary,,,NA,NA,NA,NA,NA,NA,
117,Wagner_2013,time trend of malaria and tb and hiv and enteric fever,country of birth is a risk factor for infection,,,,,,,,,,,,,,0,1,0,1,2001,2014,surveillance,,UK,1,NA,NA,NA,0,2,associates migrant waves with prevalence of infectious diseases
118,Wallace_2015,cause of death and comp. risk in migrants vs. native. Confirming immigrant health transition theory,low all-cause mortality among immigrants driven by lower mortality from chronic diseases,inf_dis,,,,,,,,,,,,,0,1,1,NA,1971,2012,register based cohort,,UK,1,NA,NA,NA,0,1,"concludes on the immigrant helath transition proposed in Spallek 2011 but have no data on length of stay in country of resid.  or type of immigrant (refugee, labour migrant etc) "
119,Weinfurter_2011,compare QuantiFERON-TB Gold and tuberculin test among foreign-born and homeless and hiv infected and drug abuse persons in testing for ltbi,QuantiFERON-TB may improve diagnostics of ltbi in foreign-born and older persons and may be at par with tuberculin skin test in hiv-infected,,,,tb,,,,,,,,,,0,0,0,3,NA,NA,,,,NA,NA,NA,NA,NA,NA,
120,Wendland_2016,access to health care for pregnent women comparison between undocumented migrants and Danish residents,undocumented migrants have limited access compared to Danish residents,,,,hbv,,,,,,,,,,0,0,0,2,NA,NA,,,,NA,NA,NA,NA,NA,NA,
121,White_2014,editorial on how to address TB and LTBI in high incidence  countries,screening of all immigrants from moderate to high incidence countries may be the most cost-effective option,,,,tb,,,,,,,,,,0,0,0,3,NA,NA,,,,NA,NA,NA,NA,NA,NA,editorial
122,Wieland_2013,design and evaluate tb education video,adult education centres may be used as location for tb education,,,,tb,,,,,,,,,,0,0,0,3,NA,NA,,,,NA,NA,NA,NA,NA,NA,
123,Williams_2011,evaluation of screening and vaccination programmes,there is a need for health departments to support doctors' delivery of screening and vaccination to people at high risk of hbv infection,,,,hbv,,,,,,,,,,1,0,0,3,NA,NA,,,,NA,NA,NA,NA,NA,NA,
124,Winston_2013,long term clinical outcomes in hiv infected refugees compared to nonrefugees,refugees were less adherent beyond year 3 after diagnosis. Refugees had higher odds of viremia following undetected viral loads,,,,hiv,,,,,,,,,,0,0,0,3,NA,NA,,,,NA,NA,NA,NA,NA,NA,
